Y.1 Y.2 Y.3 Solution1 Solution2 Run Gen Vector
1.35083819774551 4.48471243582558 15.0697825020328 000001c6000002e6000005270000044cfffff9cf00000554000003b8fffffbeafffff8c2fffffd34 000001c6000002e6000005270000044cfffff9cf00000554000003b8fffffbeafffff8c2fffffd34 1 0 V1
4.00322820749902 10.3363782568877 3.99887558763723 00000023000001190000038c0000042a000001e8fffffd8700000215fffffd12fffffa63000002ef 00000023000001190000038c0000042a000001e8fffffd8700000215fffffd12fffffa63000002ef 1 0 V2
5.39649642684692 2.22509047873215 20.3565156240876 0000029200000292fffffeeb0000015afffffc3e00000427ffffff34000007750000005b000007bf 0000029200000292fffffeeb0000015afffffc3e00000427ffffff34000007750000005b000007bf 1 0 V3
5.44711188009766 4.54889831939085 4.41229782513776 00000296000003c1000005bafffffa8900000712fffffac8000000a50000033afffffa7f000005ac 00000296000003c1000005bafffffa8900000712fffffac8000000a50000033afffffa7f000005ac 1 0 V4
15.2169116209248 5.61767738917287 2.3707248378512 000000870000010ffffffde300000546000002700000002efffffb46fffff866ffffff9bfffffa6d 000000870000010ffffffde300000546000002700000002efffffb46fffff866ffffff9bfffffa6d 1 0 V5
1.35083819774551 4.48471243582558 15.0697825020328 000001c6000002e6000005270000044cfffff9cf00000554000003b8fffffbeafffff8c2fffffd34 000001c6000002e6000005270000044cfffff9cf00000554000003b8fffffbeafffff8c2fffffd34 1 1 V1
4.00322820749902 10.3363782568877 3.99887558763723 00000023000001190000038c0000042a000001e8fffffd8700000215fffffd12fffffa63000002ef 00000023000001190000038c0000042a000001e8fffffd8700000215fffffd12fffffa63000002ef 1 1 V2
5.39649642684692 2.22509047873215 20.3565156240876 0000029200000292fffffeeb0000015afffffc3e00000427ffffff34000007750000005b000007bf 0000029200000292fffffeeb0000015afffffc3e00000427ffffff34000007750000005b000007bf 1 1 V3
5.44711188009766 4.54889831939085 4.41229782513776 00000296000003c1000005bafffffa8900000712fffffac8000000a50000033afffffa7f000005ac 00000296000003c1000005bafffffa8900000712fffffac8000000a50000033afffffa7f000005ac 1 1 V4
15.2169116209248 5.61767738917287 2.3707248378512 000000870000010ffffffde300000546000002700000002efffffb46fffff866ffffff9bfffffa6d 000000870000010ffffffde300000546000002700000002efffffb46fffff866ffffff9bfffffa6d 1 1 V5
1.35083819774551 4.48471243582558 15.0697825020328 000001c6000002e6000005270000044cfffff9cf00000554000003b8fffffbeafffff8c2fffffd34 000001c6000002e6000005270000044cfffff9cf00000554000003b8fffffbeafffff8c2fffffd34 1 2 V1
